Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
cst_checked_at,clerkship_tracking,,text,Tracker processing timestamp,,Updated by Pediatric Clerkship Tracker. Generated reminders do not indicate delivery.,datetime_seconds_ymd,,,,,,,,,,
cst_data_through,clerkship_tracking,,text,Source export coverage date — entered by operator,,,date_ymd,,,,,,,,,,
cst_cas_matched,clerkship_tracking,,text,Clinical assessments: distinct preceptors matched,,,integer,,,,,,,,,,
cst_cas_submitted,clerkship_tracking,,text,Clinical assessments: distinct submitted forms,,,integer,,,,,,,,,,
cst_cas_credit,clerkship_tracking,,text,Clinical assessment requirement credit: unique preceptors requested or submitted,,,integer,,,,,,,,,,
cst_hp_matched,clerkship_tracking,,text,Observed H&P: distinct preceptors matched,,,integer,,,,,,,,,,
cst_hp_submitted,clerkship_tracking,,text,Observed H&P: distinct submitted forms,,,integer,,,,,,,,,,
cst_hp_credit,clerkship_tracking,,text,Observed H&P requirement credit: unique preceptors requested or submitted,,,integer,,,,,,,,,,
cst_handoff_matched,clerkship_tracking,,text,Handoff: distinct preceptors matched,,,integer,,,,,,,,,,
cst_handoff_submitted,clerkship_tracking,,text,Handoff: distinct submitted forms,,,integer,,,,,,,,,,
cst_handoff_credit,clerkship_tracking,,text,Handoff requirement credit: unique preceptors requested or submitted,,,integer,,,,,,,,,,
cst_scorable,clerkship_tracking,,text,Clinical evaluations eligible for automatic drop rule,,,integer,,,,,,,,,,
cst_manual_excluded,clerkship_tracking,,text,Manually excluded clinical evaluations,,,integer,,,,,,,,,,
cst_score_before,clerkship_tracking,,text,Clinical score before automatic drop — maximum 375,,,number,,,,,,,,,,
cst_score_after,clerkship_tracking,,text,Clinical score after automatic drop — maximum 375; not final clerkship grade,,,number,,,,,,,,,,
cst_drop_description,clerkship_tracking,,notes,Automatic lowest-evaluation exclusion,,,,,,,,,,,,,
cst_missing_count,clerkship_tracking,,text,Missing required encounter categories,,,integer,,,,,,,,,,
cst_checklist_status,clerkship_tracking,,text,Encounter checklist review status,,,,,,,,,,,,,
cst_missing_items,clerkship_tracking,,notes,Missing encounter categories,,,,,,,,,,,,,
cst_participation_issues,clerkship_tracking,,notes,"Observing-only, unknown participation, or incomplete encounter categories",,,,,,,,,,,,,
cst_student_reminder,clerkship_tracking,,notes,Generated student requirement reminder; not evidence an email was sent,,,,,,,,,,,,,
cst_preceptor_count,clerkship_tracking,,text,Generated preceptor-student reminder rows; not emails sent,,,integer,,,,,,,,,,
cst_preceptor_reminders,clerkship_tracking,,notes,Generated preceptor reminder details; not evidence an email was sent,,,,,,,,,,,,,
oasis_form_record,oasis_eval,,text,OASIS Form Record — source submission identifier,,"Retains source identity across imports, including multiple same-day submissions.",,,,,,,,,,,
epa_form_record,epa,,text,OASIS Form Record — source submission identifier,,"Retains source identity across imports, including multiple same-day submissions.",,,,,,,,,,,
